,id,codigo,nome,altitude,latitude,longitude,coord_x,coord_y,bacia,distrito,concelho,freguesia,responsavel_aut,responsavel_con,estacao_aut,estacao_con,entrada_con,encerra_con,entrada_aut,encerra_aut,telemetria,estado,est_id,geom
340,1234,19M/01UG,MOINHOLA,41.0,38.584088,-8.616445,157884.0,179748.0,SADO,ÉVORA,VENDAS NOVAS,LANDEIRA,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,1935-06-20,,2001-01-31,,SIM,ATIVA,920685494,"{'type': 'Point', 'coordinates': ['-8.616445', '38.584088']}"
341,1235,15N/01UG,MOLEDO,138.0,39.283,-9.256,103105.348,257846.634,RIBEIRAS DO OESTE,LISBOA,LOURINHÃ,MOLEDO,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOMÉTRICA,1979-10-01,,2001-10-02,,NÃO,ATIVA,920685496,"{'type': 'Point', 'coordinates': ['-9.256', '39.283']}"
342,1236,13O/03U,MONCHIQUE,792.0,37.322777,-8.594556,159096.0,39736.0,ARADE,FARO,MONCHIQUE,MONCHIQUE,Autoridade Nacional da Água,CCDR-ALGARVE,CLIMATOLÓGICA,CLIMATOLÓGICA,1932-02-04,,2001-01-31,,SIM,ATIVA,920686176,"{'type': 'Point', 'coordinates': ['-8.594556', '37.322777']}"
343,1238,16L/01UG,MONDIM DE BASTO,185.0,41.409899,-7.968101,213799.106,493415.242,DOURO,BRAGA,CELORICO DE BASTO,VEADE,nan,CCDR-NORTE,nan,UDOMÉTRICA,1933-03-18,1985-09-30,,,NÃO,EXTINTA,920752342,"{'type': 'Point', 'coordinates': ['-7.968101', '41.409899']}"
344,1239,03E/05UG,MONFORTE,259.0,39.055,-7.442,259865.0,232101.0,TEJO,PORTALEGRE,MONFORTE,MONFORTE,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1911-01-01,,2001-01-05,,SIM,ATIVA,920685498,"{'type': 'Point', 'coordinates': ['-7.442', '39.055']}"
345,1240,12O/03UG,MONFORTE DA BEIRA,277.0,39.744887,-7.293597,271956.18,308844.139,TEJO,CASTELO BRANCO,CASTELO BRANCO,MONFORTE DA BEIRA,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1979-10-01,,2003-06-25,,NÃO,ATIVA,920685766,"{'type': 'Point', 'coordinates': ['-7.293597', '39.744887']}"
346,1241,29K/05G,MONSANTO,705.0,40.03656,-7.114437,286943.808,341389.6,TEJO,CASTELO BRANCO,IDANHA-A-NOVA,MONSANTO,nan,CCDR-CENTRO,nan,UDOMÉTRICA,1982-10-01,1996-09-30,,,NÃO,EXTINTA,920752394,"{'type': 'Point', 'coordinates': ['-7.114437', '40.03656']}"
347,1243,24M/01C,MONTALVÃO,303.0,39.589,-7.526,252192.573,291381.024,TEJO,PORTALEGRE,NISA,MONTALVÃO,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,1931-11-01,,2001-02-20,,SIM,ATIVA,920685500,"{'type': 'Point', 'coordinates': ['-7.526', '39.589']}"
348,1244,26J/02G,MONTARIA,283.0,41.791,-8.729,150497.82,535902.309,ÂNCORA,VIANA DO CASTELO,VIANA DO CASTELO,MONTARIA,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,1980-07-01,,2003-03-26,,NÃO,ATIVA,920685502,"{'type': 'Point', 'coordinates': ['-8.729', '41.791']}"
349,1245,25M/03C,MONTE CAVALEIRO,459.0,40.194,-7.094,288470.77,358837.103,TEJO,CASTELO BRANCO,PENAMACOR,PENAMACOR,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,1980-10-01,,2001-10-10,,NÃO,ATIVA,920685504,"{'type': 'Point', 'coordinates': ['-7.094', '40.194']}"
350,1246,16K/04U,MONTE DA BRINJEIRA,256.0,37.403635,-7.804301,229109.0,48660.0,GUADIANA,FARO,ALCOUTIM,MARTIM LONGO,Autoridade Nacional da Água,nan,UDOGRÁFICA,nan,,,2001-07-05,,NÃO,ATIVA,920685976,"{'type': 'Point', 'coordinates': ['-7.804301', '37.403635']}"
351,1248,24J/01G,MONTE DA PATA ESTRELA,171.0,38.262644,-7.381891,265743.957,144220.699,GUADIANA,BEJA,MOURA,PÓVOA DE SÃO MIGUEL,nan,CCDR-ALENTEJO,nan,CLIMATOLÓGICA,1979-10-01,2000-12-31,,,NÃO,EXTINTA,920752496,"{'type': 'Point', 'coordinates': ['-7.381891', '38.262644']}"
352,1250,27L/01C,MONTE DA TORRE,192.0,38.063836,-7.489088,256515.0,122082.0,GUADIANA,BEJA,SERPA,PIAS,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,1961-10-01,1972-09-30,2001-07-20,,NÃO,ATIVA,920685508,"{'type': 'Point', 'coordinates': ['-7.489088', '38.063836']}"
