date,Unnamed: 0,rainfall,station
1941-01-01 09:00:00,104740,598.6,920752372
1941-02-01 09:00:00,104741,463.1,920752372
1941-03-01 09:00:00,104742,255.3,920752372
1941-04-01 09:00:00,104743,271.6,920752372
1941-05-01 09:00:00,104744,162.9,920752372
1941-06-01 09:00:00,104745,97.1,920752372
1941-07-01 09:00:00,104746,78.3,920752372
1941-08-01 09:00:00,104747,7.6,920752372
1941-09-01 09:00:00,104748,28.3,920752372
1941-10-01 09:00:00,104749,0.6,920752372
1941-11-01 09:00:00,104750,302.8,920752372
1941-12-01 09:00:00,104751,17.5,920752372
1942-01-01 09:00:00,104752,153.5,920752372
1942-02-01 09:00:00,104753,35.1,920752372
1942-03-01 09:00:00,104754,385.5,920752372
1942-04-01 09:00:00,104755,216.8,920752372
1942-05-01 09:00:00,104756,219.6,920752372
1942-06-01 09:00:00,104757,97.8,920752372
1942-07-01 09:00:00,104758,0.3,920752372
1942-08-01 09:00:00,104759,13.7,920752372
1942-09-01 09:00:00,104760,77.4,920752372
1942-10-01 09:00:00,104761,177.4,920752372
1942-11-01 09:00:00,104762,72.8,920752372
1942-12-01 09:00:00,104763,320.9,920752372
1943-01-01 09:00:00,104764,556.5,920752372
1943-02-01 09:00:00,104765,72.1,920752372
1943-03-01 09:00:00,104766,134.0,920752372
1943-04-01 09:00:00,104767,47.3,920752372
1943-05-01 09:00:00,104768,26.1,920752372
1943-06-01 09:00:00,104769,2.2,920752372
1943-07-01 09:00:00,104770,61.5,920752372
1943-08-01 09:00:00,104771,13.0,920752372
1943-09-01 09:00:00,104772,180.4,920752372
1943-10-01 09:00:00,104773,444.1,920752372
1943-11-01 09:00:00,104774,90.7,920752372
1943-12-01 09:00:00,104775,195.8,920752372
1944-01-01 09:00:00,104776,12.2,920752372
1944-02-01 09:00:00,104777,65.8,920752372
1944-03-01 09:00:00,104778,96.3,920752372
1944-04-01 09:00:00,104779,194.1,920752372
1944-05-01 09:00:00,104780,45.6,920752372
1944-06-01 09:00:00,104781,45.9,920752372
1944-07-01 09:00:00,104782,59.2,920752372
1944-08-01 09:00:00,104783,65.6,920752372
1944-09-01 09:00:00,104784,29.4,920752372
1944-10-01 09:00:00,104785,108.8,920752372
1944-11-01 09:00:00,104786,110.1,920752372
1944-12-01 09:00:00,104787,209.5,920752372
1945-01-01 09:00:00,104788,188.7,920752372
1945-02-01 09:00:00,104789,35.4,920752372
1945-03-01 09:00:00,104790,40.6,920752372
1945-04-01 09:00:00,104791,53.2,920752372
1945-05-01 09:00:00,104792,90.3,920752372
1945-06-01 09:00:00,104793,27.2,920752372
1945-07-01 09:00:00,104794,4.3,920752372
1945-08-01 09:00:00,104795,39.9,920752372
1945-09-01 09:00:00,104796,7.8,920752372
1945-10-01 09:00:00,104797,167.0,920752372
1945-11-01 09:00:00,104798,173.4,920752372
1945-12-01 09:00:00,104799,479.6,920752372
1946-01-01 09:00:00,104800,88.9,920752372
1946-02-01 09:00:00,104801,51.3,920752372
