date,rainfall,station
1941-01-01 09:00:00,170.7,920752656
1941-02-01 09:00:00,99.8,920752656
1941-03-01 09:00:00,97.0,920752656
1941-04-01 09:00:00,106.9,920752656
1941-05-01 09:00:00,7.4,920752656
1941-06-01 09:00:00,2.8,920752656
1941-07-01 09:00:00,18.5,920752656
1941-08-01 09:00:00,3.6,920752656
1941-09-01 09:00:00,4.1,920752656
1941-10-01 09:00:00,11.7,920752656
1941-11-01 09:00:00,121.7,920752656
1941-12-01 09:00:00,42.7,920752656
1942-01-01 09:00:00,77.2,920752656
1942-02-01 09:00:00,41.1,920752656
1942-03-01 09:00:00,126.7,920752656
1942-04-01 09:00:00,100.3,920752656
1942-05-01 09:00:00,10.9,920752656
1942-06-01 09:00:00,1.5,920752656
1942-07-01 09:00:00,0.0,920752656
1942-08-01 09:00:00,0.0,920752656
1942-09-01 09:00:00,70.9,920752656
1942-10-01 09:00:00,105.4,920752656
1942-11-01 09:00:00,89.4,920752656
1942-12-01 09:00:00,112.0,920752656
1943-01-01 09:00:00,54.4,920752656
1943-02-01 09:00:00,18.3,920752656
1943-03-01 09:00:00,123.2,920752656
1943-04-01 09:00:00,129.5,920752656
1943-05-01 09:00:00,1.8,920752656
1943-06-01 09:00:00,0.0,920752656
1943-07-01 09:00:00,3.6,920752656
1943-08-01 09:00:00,0.0,920752656
1943-09-01 09:00:00,64.0,920752656
1943-10-01 09:00:00,39.1,920752656
1943-11-01 09:00:00,0.0,920752656
1943-12-01 09:00:00,42.4,920752656
1944-01-01 09:00:00,26.2,920752656
1944-02-01 09:00:00,43.4,920752656
1944-03-01 09:00:00,50.5,920752656
1944-04-01 09:00:00,42.9,920752656
1944-05-01 09:00:00,12.9,920752656
1944-06-01 09:00:00,75.4,920752656
1944-07-01 09:00:00,0.0,920752656
1944-08-01 09:00:00,1.0,920752656
1944-09-01 09:00:00,30.5,920752656
1944-10-01 09:00:00,14.7,920752656
1944-11-01 09:00:00,24.6,920752656
1944-12-01 09:00:00,0.0,920752656
1945-01-01 09:00:00,33.5,920752656
1945-02-01 09:00:00,0.0,920752656
1945-03-01 09:00:00,40.4,920752656
1945-04-01 09:00:00,1.5,920752656
1945-05-01 09:00:00,7.9,920752656
1945-06-01 09:00:00,60.7,920752656
1945-07-01 09:00:00,0.0,920752656
1945-08-01 09:00:00,0.0,920752656
1945-09-01 09:00:00,0.0,920752656
1945-10-01 09:00:00,33.0,920752656
1945-11-01 09:00:00,164.6,920752656
1945-12-01 09:00:00,109.7,920752656
1946-01-01 09:00:00,41.1,920752656
1946-02-01 09:00:00,18.8,920752656
1946-03-01 09:00:00,74.2,920752656
1946-04-01 09:00:00,112.3,920752656
1946-05-01 09:00:00,87.6,920752656
1946-06-01 09:00:00,0.0,920752656
1946-07-01 09:00:00,0.0,920752656
1946-08-01 09:00:00,0.0,920752656
1946-09-01 09:00:00,23.4,920752656
1946-10-01 09:00:00,43.2,920752656
1946-11-01 09:00:00,74.9,920752656
1946-12-01 09:00:00,24.9,920752656
1947-01-01 09:00:00,92.7,920752656
1947-02-01 09:00:00,214.6,920752656
1947-03-01 09:00:00,157.2,920752656
1947-04-01 09:00:00,6.9,920752656
1947-05-01 09:00:00,37.3,920752656
1947-06-01 09:00:00,0.0,920752656
1947-07-01 09:00:00,1.5,920752656
1947-08-01 09:00:00,73.4,920752656
1947-09-01 09:00:00,9.9,920752656
1947-10-01 09:00:00,28.7,920752656
1947-11-01 09:00:00,40.6,920752656
1947-12-01 09:00:00,59.2,920752656
